Title,Author,Genre,Description
Python Basics,John Smith,Programming,Learn Python programming from beginner to advanced concepts with practical examples.
Advanced Python,David Brown,Programming,Master advanced Python programming techniques and best coding practices.
Machine Learning Guide,Alice Johnson,Artificial Intelligence,A beginner friendly guide to machine learning algorithms and real world applications.
Deep Learning Essentials,Michael Lee,Artificial Intelligence,Understand neural networks deep learning and AI model development.
Artificial Intelligence,Andrew Green,Artificial Intelligence,Comprehensive introduction to artificial intelligence concepts and applications.
Natural Language Processing,Robert King,Artificial Intelligence,Learn NLP techniques including text preprocessing sentiment analysis and language models.
Data Science Handbook,Sarah Wilson,Data Science,Explore data analysis visualization statistics and machine learning techniques.
Statistics for Data Science,Emily Davis,Data Science,Essential statistical concepts for data science and predictive analytics.
Data Visualization,Kevin White,Data Science,Create meaningful charts graphs and dashboards using modern visualization techniques.
Web Development 101,Mark Taylor,Web Development,Build responsive websites using HTML CSS JavaScript and modern web technologies.
Java Programming,James White,Programming,Complete guide to Java programming object oriented programming and application development.
C Programming Basics,William Scott,Programming,Learn C programming language from scratch including pointers and memory management.
Linux Essentials,Richard Moore,Operating Systems,Understand Linux commands shell scripting and system administration.
Cloud Computing Basics,Michael Scott,Cloud Computing,Introduction to cloud computing services virtualization and cloud deployment.
Cyber Security Fundamentals,Olivia Harris,Cyber Security,Learn ethical hacking cybersecurity principles and network security basics.
Database Management Systems,Daniel Clark,Database,Understand SQL relational databases normalization and database design.
Computer Networks,Sophia Lewis,Networking,Study networking concepts protocols routing switching and internet communication.
Operating System Concepts,Thomas Walker,Operating Systems,Understand processes memory management scheduling and file systems.
Software Engineering,Emma Martin,Software Engineering,Learn software development life cycle agile methodologies testing and maintenance.
Artificial Intelligence Projects,Lucas Hall,Artificial Intelligence,Hands on AI and machine learning projects using Python and modern libraries.
